,name,vpolet_price,vivino_price,region,country,ratings
0,Ch. la Nerthe Cuvée des Cadettes Châteauneuf-du-Pape 2016,78.25,101.13, Rhône,France,4.5
1,Graham's Vintage Port 1994,120.0,130.0, Douro e Porto,Portugal,4.3
2,Banfi Brunello di Montalcino 2017,176.09,198.0, Toscana,Italy,4.4
3,Banfi Brunello di Montalcino 2014,86.95,105.0, Toscana,Italy,4.4
4,Kopke Colheita 1975,113.21,120.0, Douro e Porto,Portugal,4.5
5,Warre's Vintage Port 1994,104.35,154.95, Douro e Porto,Portugal,4.7
6,Tommasi Amarone della Valpolicella Classico 2017,78.25,88.82, Veneto,Italy,4.3
7,Bertani Amarone della Valpolicella Classico 2012,86.0,112.79, Veneto,Italy,4.2
8,Niepoort Colheita 1997,69.56,87.1, Douro e Porto,Portugal,4.4
9,Pod. La Vigna Brunello di Montalcino Riserva 2012,73.91,144.95, Toscana,Italy,4.4
10,Stag's Leap Fay Cabernet Sauvignon 2017,121.73,192.0, California,USA,4.6
11,Salicutti Piaggione Brunello di Montalcino 2015,72.17,78.26, Toscana,Italy,4.5
12,Silver Oak Alexander Valley Cabernet Sauvignon 2016,66.87,155.0, California,USA,4.6
13,M. Chapoutier Ermitage Le Pavillon Rouge 2008,173.48,260.0, Rhône,France,4.5
14,Camarcanda Bolgheri 2019,121.73,127.47, Toscana,Italy,4.3
15,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2017,86.94,95.0, Toscana,Italy,4.5
16,Antinori Tignanello 2019,83.39,150.0, Toscana,Italy,4.6
17,Lokoya Mount Veeder Cabernet Sauvignon 2009,296.76,390.0, California,USA,4.7
18,Il Fondatore Amarone della Valpolicella 2015,71.22,89.0, Veneto,Italy,4.1
19,Kopke Colheita 1978,105.73,114.95, Douro e Porto,Portugal,4.5
20,Oremus Tokaji Aszu 6 Puttonyos 2013,69.56,109.95, Tokaj,Hungary,4.6
21,Dal forno Romano Amarone della Valpolicella 2015,217.39,355.0, Veneto,Italy,4.6
22,Paul Jaboulet Hermitage La Chapelle Rouge 2007,106.26,149.99, Rhône,France,4.4
23,Baricci Brunello di Montalcino Riserva 2016,125.65,188.0, Toscana,Italy,4.7
24,Brancaia Il Blu 2018,66.08,70.6, Toscana,Italy,4.3
25,Penfolds Yattarna Chardonnay 2019,98.25,149.0, South Australia,Australia,4.4
26,Dow's Vintage Port 1994,120.0,154.95, Douro e Porto,Portugal,4.7
27,Il Poggione Brunello di Montalcino 2017,69.56,90.68, Toscana,Italy,4.4
28,Spottswoode Estate Cabernet Sauvignon 2017,173.83,262.0, California,USA,4.5
29,Colomé Altura Máxima Malbec 2017,86.87,98.95, Salta,Argentina,4.5
30,David Duband Chambolle Musigny 2018,79.99,152.0, Burgund,France,4.3
31,Warre's Vintage 1980,124.78,140.0, Douro e Porto,Portugal,4.4
32,Ettore Germano Barolo Lazzarito Riserva 2015,68.7,89.99, Piemonte,Italy,4.2
33,Massolino Barolo Parafada 2017,83.03,95.0, Piemonte,Italy,4.4
34,Nin-Ortiz Nit de Nin Mas d'en Caçador 2018,77.09,167.07, Catalonia,Spain,4.2
35,Taylor's Vintage Port 2018,74.78,84.95, Douro e Porto,Portugal,4.4
36,Guigal Côte Rôtie La Mouline 2017,269.57,303.0, Rhône,France,4.6
37,Niepoort Vintage Port 2019,69.56,85.0, Douro e Porto,Portugal,4.5
38,Isole e Olena Cepparello 2018,74.78,97.5, Toscana,Italy,4.4
39,Matrot Mersault-Blagny 1er Cru 2018,66.09,135.0, Burgund,France,4.4
40,Talenti Brunello di Montalcino 2017,89.39,105.0, Toscana,Italy,4.4
41,Pietroso Brunello di Montalcino Riserva 2016,86.61,92.95, Toscana,Italy,4.3
42,Collosorbo Brunello di Montalcino Riserva 2016,69.56,92.95, Toscana,Italy,4.3
43,Fossacolle Brunello di Montalcino Riserva 2012,73.04,144.95, Toscana,Italy,4.4
44,Molino di Sant'Antimo Brunello di Montalcino Riserva 2015,95.21,144.99, Toscana,Italy,4.5
45,Ch. d' Estournel Pagodes de Cos 2018,69.53,79.0, Bordeaux,France,4.2
46,Catena Zapata Adrianna Vineyard White Stones Chardonnay 2019,71.74,80.0, Mendoza,Argentina,4.4
47,Catena Zapata Adrianna Vineyard White Bones Chardonnay 2019,71.74,80.0, Mendoza,Argentina,4.4
48,Massolino Barolo Parussi 2017,83.03,95.0, Piemonte,Italy,4.3
49,Col d'Orcia Brunello di Montalcino 2017,69.13,90.68, Toscana,Italy,4.4
50,Mullineux Granite Syrah 2014,72.96,75.0, Coastal Region,Sør-Afrika,4.3
51,Mullineux Iron Syrah 2017,72.96,77.0, Coastal Region,Sør-Afrika,4.4
52,Lisini Ugolaia Brunello di Montalcino 2016,89.99,90.0, Toscana,Italy,4.4
53,Bouchard Père & Fils Corton Charlemagne Grand Cru 2018,150.91,152.96, Burgund,France,4.4
54,Billecart-Salmon Cuvée Nicolas François Billecart Brut 2002,137.04,169.95, Champagne,France,4.5
55,Le Macchiole Messorio 2008,125.88,184.61, Toscana,Italy,4.4
56,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2012,86.51,165.0, Toscana,Italy,4.5
57,Isole e Olena Cepparello Toscana 2017,68.87,99.0, Toscana,Italy,4.4
58,Georges Lignier Gevrey-Chambertin 1er Cru Les Combottes 2014,69.38,80.0, Burgund,France,4.1
59,Taylor's Vintage Port 2017,74.78,85.0, Douro e Porto,Portugal,4.4
60,Ceretto Barolo Brunate 2017,113.03,198.0, Piemonte,Italy,4.5
61,Vietti Barolo Lazzarito 2018,156.51,175.82, Piemonte,Italy,4.2
62,Rossignol-Trapet Chambertin Grand Cru 2018,229.63,272.0, Burgund,France,4.4
63,Faiveley Corton Charlemagne Grand Cru 2018,146.96,192.0, Burgund,France,4.6
64,Littorai Sonoma Coast Charles Heintz Vineyard Chardonnay 2018,73.83,94.95, California,USA,4.3
65,Zenato Amarone della Valpolicella Classico Riserva 2016,68.69,125.0, Veneto,Italy,4.5
66,Ceretto Barolo Brunate 2015,69.55,227.43, Piemonte,Italy,4.3
67,Antica Terra Antikythera Pinot Noir 2017,111.3,161.0, Oregon,USA,4.6
68,Hattingley Valley Kings Cuvee Brut 2014,70.43,85.0, Øvrige,England,4.1
69,Meo-Camuzet Clos de Vougeot Pres le Cellier 2017,239.8,272.52, Burgund,France,4.5
70,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2011,86.51,99.0, Toscana,Italy,4.4
71,Contino Gran Reserva 2011,95.64,110.0, Rioja,Spain,4.2
72,Viúva Gomes Colares Tinto 1965,121.73,145.0, Lisboa,Portugal,4.3
73,Gaja Barbaresco 2017,173.9,199.0, Piemonte,Italy,4.5
74,Rossignol-Trapet Gevrey-Chambertin Petite Chapelle 2016,87.12,99.0, Burgund,France,4.2
75,Guigal Hermitage Ex Voto 2015,228.26,243.0, Rhône,France,4.5
76,Meo-Camuzet Clos de Vougeot Grand Cru 2013,168.88,305.05, Burgund,France,4.4
77,Burmester Vintage 2011,66.36,83.73, Douro e Porto,Portugal,4.3
78,Drouhin Charmes-Chambertin Grand Cru 2017,173.07,265.0, Burgund,France,4.4
79,Sadie Palladius 2018,65.22,78.24, Coastal Region,Sør-Afrika,4.3
80,Ch. D'Yquem Sauternes 2009,196.52,372.68, Bordeaux,France,4.7
81,La Rioja Alta Gran Reserva 890 2010,104.34,175.0, Rioja,Spain,4.5
82,Billecart-Salmon Cuvée Nicolas François Billecart Brut 2007,109.57,145.0, Champagne,France,4.5
83,A. Karamolegos Papas 2016,85.76,92.0, Santorini,Hellas,4.3
84,Dominus Estate Napanook 2016,82.24,90.0, California,USA,4.2
85,Vieux Château Certan 2017,209.37,322.0, Bordeaux,France,4.5
86,Denis Mortet Gevrey-Chambertin Mes Cinq Terroirs 2018,86.08,150.0, Burgund,France,4.3
87,Jamet Condrieu Vernillon 2018,71.29,95.0, Rhône,France,4.2
88,De Montille Volnay 1er Cru Les Taillepieds 2018,106.09,260.0, Burgund,France,4.3
89,M. Chapoutier Hermitage Le Pavillon 2009,260.47,316.48, Rhône,France,4.5
90,Lisini Brunello di Montalcino Riserva 2015,85.63,144.99, Toscana,Italy,4.5
91,Cornelissen MunJebel BB Rosso 2018,73.91,101.5, Sicilia,Italy,4.3
92,Vietti Barolo Ravera 2017,147.82,160.0, Piemonte,Italy,4.1
93,Vietti Barolo Brunate 2017,147.81,160.0, Piemonte,Italy,4.1
94,Dominus Estate Napanook 2017,72.77,75.0, California,USA,4.2
95,Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Spätlese 2019,69.48,97.5, Mosel,Germany,4.3
96,Brancaia Il Blu 2018,66.08,70.6, Toscana,Italy,4.3
97,Aldo Conterno Barolo Romirasco 2017,169.57,197.95, Piemonte,Italy,4.6
98,Vega Sicilia Unico 2012 2012,319.56,369.0, Castilla y León,Spain,4.7
99,Billecart-Salmon Cuvée Louis Blanc de blancs 2008,132.17,170.0, Champagne,France,4.5
100,Ferrero Brunello di Montalcino Riserva 2016,72.09,92.95, Toscana,Italy,4.3
101,Roagna Barolo Pira 2015,173.9,191.0, Piemonte,Italy,4.4
102,Heitz Cellar Trailside Vineyard Cabernet Sauvignon 2013,123.53,231.0, California,USA,4.5
103,Heitz Cellar Martha's Vineyard Cabernet Sauvignon 2013,221.94,231.0, California,USA,4.5
104,Vietti Barolo Rocche di Castiglione 2017,147.82,158.68, Piemonte,Italy,4.3
105,Heitz Cellar Trailside Vineyard Cabernet Sauvignon 2015,104.26,134.95, California,USA,4.4
106,Catena Zapata Malbec Adrianna Vineyard River Stones 2018,108.7,125.0, Mendoza,Argentina,4.7
107,Catena Zapata Malbec Adrianna Vineyard Fortuna Terrae 2018,67.39,71.0, Mendoza,Argentina,4.5
108,Brovia Barolo Rocche di Castiglione 2017,77.84,86.49, Piemonte,Italy,4.4
109,Dominus Estate Napanook 2016,77.1,90.0, California,USA,4.2
110,Reyneke Cabernet Sauvignon 2017,77.38,225.0, Coastal Region,Sør-Afrika,4.6
111,Guigal Condrieu La Doriane 2020,72.7,89.5, Rhône,France,4.3
112,Giodo Brunello di Montalcino 2017,120.06,198.0, Toscana,Italy,4.4
113,Quinta do Noval Vintage 2019,67.39,75.0, Douro e Porto,Portugal,4.6
114,Giovanni Rosso Langhe Nebbiolo Ester Canale Rosso 2018,108.69,120.44, Piemonte,Italy,4.5
115,Penfolds Bin 707 Cabernet Sauvignon 2019,268.69,395.0, South Australia,Australia,4.3
116,A. Karamolegos Papas 2017,80.0,121.0, Santorini,Hellas,4.5
117,J. M. Boillot Puligny-Montrachet 1er Cru Champs Canet 2019,86.06,89.95, Burgund,France,4.4
118,Aldo Conterno Barolo Bussia 2017,68.7,74.99, Piemonte,Italy,4.3
